Year,Month,Day,t_max_B,t_min_B,R_B,U2_B,RH_B,t_max_A,t_min_A,R_A,U2_A,RH_A
2021,10,292,26.32,14.54,89.79,1.41,84.62,28.74,11.95,93.8,4.17,44.75
2021,10,293,28.56,19.05,86.02,1.28,89.31,22.43,6.61,93.52,2.4,41.88
2021,10,294,30.14,20.32,87.71,0.73,85.19,26.4,6.83,82.77,2.96,57.81
2021,10,295,29.41,19.5,92.81,0.91,86,28.68,12.62,85.72,3.53,58.88
2021,10,296,26.9,21.01,58.48,1.55,92.81,30.94,14.15,83.91,4.48,47.5
2021,10,297,28.96,22.14,79.94,1.66,88.31,25.43,12.44,85.24,3.09,38.19
2021,10,298,31.63,21.66,77.46,0.82,85.75,29.1,10.05,81.56,3.46,43.88
2021,10,299,28.41,21.76,56.64,1.51,91.69,30.93,12.08,86.39,5.46,32.81
2021,10,300,26.65,15.61,46.26,2.51,84.31,18.17,8.55,85.66,6.8,35.25
2021,10,301,22.21,13.92,95.41,3.3,57.56,18.23,6.54,86.78,5,32.69
2021,10,302,20.85,10.89,92.86,2.57,61.31,21.94,5.05,86.1,2.95,36.5
2021,10,303,22.79,7.99,92.73,1.11,60.69,27.12,7.37,84.73,2.98,35.56
2021,10,304,25.94,11,91.91,0.9,61.62,17.08,5.23,80.02,3.84,54.19
2021,11,305,24.54,10.64,89.85,1.16,80.5,20.33,3.09,77.12,2.16,58.88
2021,11,306,25.01,12.51,87.16,1.13,84.06,8.89,3.76,24.55,2.96,72.69
2021,11,307,20.36,12.59,26.01,1.65,92.25,10.11,1.37,34.37,1.71,79.12
2021,11,308,15.24,9.8,43.48,2.07,84.44,18.96,0.59,80.42,2.59,63.88
2021,11,309,18.31,5.94,87.52,1.48,73.81,23.03,3.35,79.62,3.62,61.56
2021,11,310,19.65,5.69,86.55,1.17,81.19,25.82,5.24,78.63,3.7,48.75
2021,11,311,20.24,7.14,86.55,1.07,82.25,28.34,9,78.49,4.15,36.12
2021,11,312,22.23,8.05,87.25,1.16,86.25,28.24,10.29,68.27,2.69,35.44
2021,11,313,22.72,11.82,65.09,1.12,89.94,20.17,6.57,70.34,2.44,60.31
2021,11,314,24.69,15.18,50.44,1.55,92.44,22.13,7.76,74.42,3.88,48.56
2021,11,315,24.72,11.72,46.29,1.4,87.19,17.73,5.08,75.19,2.64,53.88
2021,11,316,23.58,9.83,80.1,1.17,80.12,14.22,1.73,74.74,2.76,40.19
2021,11,317,17.92,5.12,84.23,1.56,60.19,23.3,2.9,69.41,2.98,37.44
2021,11,318,22.94,8.43,81.96,1.06,71.56,17.83,3.04,68.88,2.34,47.88
2021,11,319,25.33,13.37,63.75,1.3,87.88,27.94,7.12,69.91,1.64,37.56
2021,11,320,25.31,16.09,73.87,1.88,86.75,28.04,8.97,55.37,4.41,30.25
2021,11,321,26.59,17.76,74.9,1.8,84.44,11.73,1.17,65.56,5.1,33.94
2021,11,322,21.97,10.55,45.61,2.02,81.31,11.58,-2.13,70.3,2.45,34.62
2021,11,323,18.44,7.48,79.98,1.56,61.94,18.2,0.46,53.88,5.21,38.88
2021,11,324,23.51,9.48,74.77,1.2,85.44,22.32,6.33,56.9,3.35,37.12
2021,11,325,25.05,16.1,32.37,1.27,90.81,14.15,4.5,63.58,3.63,49.88
2021,11,326,21.2,9.13,78.77,1.82,76.56,19.73,1.92,68.59,2.85,43.62
2021,11,327,19.32,7.02,78.87,1.51,77.25,21.83,3.06,64.49,4.95,46.19
2021,11,328,24.27,14.37,52.09,2.05,82.19,18.12,5.23,41.24,4.88,49.81
2021,11,329,22.29,11.79,18.08,1.64,90.88,11.23,0.45,66.33,3.52,43.56
2021,11,330,14.12,7.64,64.07,1.74,69.06,19.3,0.58,67.16,4.12,38.38
2021,11,331,14.23,7.05,28.55,0.62,82.5,18.14,2.19,64.8,3.45,46.62
2021,11,332,16.73,8.42,23.95,1.41,91.94,17.77,2,65.91,2.47,48.94
2021,11,333,20.08,6.01,74.59,0.81,84.44,25.57,5.46,65.27,2.64,37.69
2021,11,334,21.44,9.84,68.96,1,86.69,17.75,5.1,64.88,3.17,48.62
2021,12,335,23.84,12.17,72.12,0.88,89.44,21.36,4.08,59.73,2.66,42.75
2021,12,336,24.2,13.51,60.29,0.9,89.38,24.25,4.58,63.9,2.73,32.38
2021,12,337,24.23,14.88,46.32,1.14,94.06,19.25,6.88,62.78,3.48,40.19
2021,12,338,26.05,16.15,46.94,1.11,91,16.3,4.26,61.84,2.44,58.56
2021,12,339,24.42,15.78,47.11,1.57,92.44,21.5,1.98,63.16,5.06,39.81
2021,12,340,23.22,10.5,24.76,2.12,92.75,6.74,-3.62,62.28,4.04,40.19
2021,12,341,18.64,10.27,41.44,0.83,84.81,16.58,-1.44,51.89,3.15,44
2021,12,342,21.91,12.02,32.11,0.95,89.44,19.33,0.27,49.75,4.05,45.56
2021,12,343,26.73,14.78,40.5,1.91,91.56,19.77,6.79,58.6,5.56,36.25
2021,12,344,26.15,21.45,38.7,2.67,91.88,18.44,3.3,52.18,7.47,32.94
2021,12,345,22.65,8.89,30.37,2.52,70.81,10.33,-2.54,61.32,3.57,23.06
2021,12,346,16,4.25,62.87,1.47,74,19.69,-1.05,60.84,5.25,27.12
2021,12,347,22.09,8.79,29.09,1.51,88.38,20.35,2.26,59.12,4.2,33.06
2021,12,348,25.67,16.75,36.41,1.65,92.12,23.44,6.44,54.39,4.47,31.31
2021,12,349,25.09,18.56,41.95,2.08,90.88,21.49,6.05,57.4,6.84,40.81
2021,12,350,26.22,19.17,51.99,1.55,90.69,12.08,-0.84,59.28,2.83,38.06
2021,12,351,24.21,18.4,44.65,1.66,92.69,17.55,1.9,51.42,3.02,40.5
2021,12,352,24.3,11.58,13.84,1.84,94.81,6.08,-4.38,57.94,3.09,47.62
2021,12,353,14.94,7.95,65.38,2.19,73.69,10.66,-4.58,59.36,4.01,43.12
2021,12,354,13.78,5.31,33.92,1.5,83.06,14.29,-4.3,60.31,2.19,47.62
2021,12,355,15.44,3.49,69.59,1.05,72.44,18.3,-2.13,56.32,2.62,35.44
2021,12,356,19.06,7.48,70.62,1.15,77.38,18.79,-1.78,56.89,2.12,32.88
2021,12,357,22.08,10.96,56.33,1.69,88.75,22.38,4.76,43.52,4.82,34.06
2021,12,358,24.12,16.99,57.95,2.43,87.81,23.65,10.69,47.29,6.7,44.5
2021,12,359,25.54,18.37,40.31,1.95,89.88,19.14,8.19,53.65,4.01,51.25
2021,12,360,25.12,18.15,45.77,1.81,89.88,22.96,9.1,50.65,5.55,34.56
2021,12,361,25.23,19.6,44.48,2.06,88.25,13.33,2.76,29.91,3.2,44.38
2021,12,362,25.87,19.8,40.7,2.3,88.81,15.08,7.05,61.45,5.28,38.5
2021,12,363,26.42,19.72,37.48,1.83,90.12,14.82,2.73,61.07,4.52,40.25
2021,12,364,26.8,18.62,51.05,1.01,88.88,12.94,1.61,39.38,4.96,43.12
2021,12,365,26.68,19.78,42.49,2.17,90.88,14.44,5.69,37.2,5.17,59.81
