Year,Month,Day,t_max_B,t_min_B,R_B,U2_B,RH_B,t_max_A,t_min_A,R_A,U2_A,RH_A
2021,3,66,17.84,3.94,115.03,1.69,71.81,19.67,2.55,108.23,5.39,54.44
2021,3,67,20.26,5.09,108.8,1.54,81.81,22.75,4.58,76.35,5.3,60
2021,3,68,21.76,10.98,83.63,2.02,83.44,23.63,9.37,64.03,5.41,50.5
2021,3,69,22.51,15.68,66.28,2.5,89.75,23.49,8.51,113.26,5.54,30.19
2021,3,70,22.71,16.65,67.83,1.98,91.75,20.8,0.9,109.91,3.85,36.69
2021,3,71,24.61,16.65,63.94,1.91,88.19,18.98,9.51,31.72,3.85,81.88
2021,3,72,24.59,15.58,76.12,2.27,86.44,22.5,5.87,26.83,5.99,63.44
2021,3,73,24.01,18.1,45.8,2.46,90,15.61,2.23,107.97,6.26,34.81
2021,3,74,26.65,17.01,62.12,1.6,88.19,18.19,0.6,114.59,3.23,41.12
2021,3,75,26.83,18.37,49.8,1.67,88.75,25.04,6.33,114.71,3.56,29
2021,3,76,24.05,12.05,65.83,2.27,78.56,10.24,0.38,44.52,6.14,62.56
2021,3,77,18.65,7.55,126.21,2.55,62.94,14.19,-2.1,111.61,3.2,52.94
2021,3,78,19.08,5.9,89.06,1.66,75,17.33,-1.35,117.12,2.62,53.94
2021,3,79,18.59,5.3,114.38,1.45,76.88,22.05,1.89,118.65,5.54,43.12
2021,3,80,20.43,5.52,115.63,1.33,80.19,24.48,5.57,74.8,4.43,41.56
2021,3,81,22.6,13.3,67.91,2.24,85.81,18.34,2.61,22.45,4.66,64.38
2021,3,82,26.84,16.47,121.09,1.22,85.12,17.37,0.94,120.74,3.41,48.06
2021,3,83,24.83,15.98,36.88,2.45,91.62,10.83,0.42,31.85,4.4,62.69
2021,3,84,25.78,13.88,113.45,1.53,77.75,17.3,-2.6,120.24,3.3,50.38
2021,3,85,26.73,10.94,124.29,1.8,79.25,21.87,3.11,122.41,3.63,32.62
2021,3,86,26.98,20.01,55.16,2.08,86.94,18.97,3.83,123.54,4.31,40.5
2021,3,87,21.33,10.4,38.38,1.84,77,22.05,2.29,129.15,3.34,32.94
2021,3,88,22.16,8.37,133.34,1.7,68.62,27.89,6.53,129.78,6.66,23.81
2021,3,89,26.02,16.19,55.78,2.07,88.12,15.83,4.23,128.98,4.77,33.06
2021,3,90,26.89,12.41,52.22,2.12,84.44,16.52,-0.73,126.68,1.85,36.38
2021,4,91,20.27,8.14,136.84,2.33,56.62,19.89,1.12,132.76,4.73,29.44
2021,4,92,18.78,6.53,131.79,1.88,60.19,21.4,4.76,121.45,5.17,40.62
2021,4,93,16.3,9.01,60.74,1.29,74.81,27.4,7.41,132.52,3.35,51.06
2021,4,94,23.75,10.15,97.62,1.47,76.31,28.05,8.39,134.87,3.41,50.25
2021,4,95,24.86,14.76,102.59,1.75,78.31,30.73,10.9,129.98,6.24,50.56
2021,4,96,26.54,17.34,87.52,2.46,83.44,30.69,11.88,134.49,6.52,31.56
2021,4,97,26.38,19.33,57.13,2.16,85.19,23.37,5.54,135.84,4.29,36.31
2021,4,98,29.11,16.37,137.91,1.26,79.75,27.29,5.93,137.02,2.48,27.06
2021,4,99,26.73,19.83,72.3,2.09,87.88,24.45,6.76,138.25,5.49,28.25
2021,4,100,28.83,15.4,130.04,1.24,72.19,23.28,2.5,140.38,2.52,29.38
2021,4,101,29.04,11.38,143.05,1.36,60.5,29.05,7.8,135.37,3.98,21.62
2021,4,102,28.66,14.33,133.53,1.81,78.44,13.42,5.24,92.93,4.34,35.75
2021,4,103,28.32,19.67,55.95,1.75,88.44,19.19,3.6,124.58,4.02,38.75
2021,4,104,28.98,20.96,37.75,1.39,88.94,12.01,5.59,59.41,3.26,77.94
2021,4,105,24.22,16.47,67.88,2.05,86.69,10.73,5.62,34.09,3.93,86
2021,4,106,24.76,17.55,37.44,1.89,92.5,14.56,4.08,65.05,4.4,63.44
2021,4,107,18.33,13.01,48.55,2.59,85.31,13.98,-0.42,88.91,3.52,50.75
2021,4,108,21.43,10.5,95.2,1.89,71.69,18.53,1.36,141.98,2.19,32.88
2021,4,109,23.35,9.27,122.74,1.2,66.81,22.88,3.04,142.63,3.43,30.88
2021,4,110,26.76,13.25,137.84,0.95,60.81,11.35,-1.64,138.95,4.8,43.5
